year,month,day,country,title,text,hazard-category,product-category,hazard,product
2020,8,7,ie,Fiskars Spoon Recall Due to Potential Chemical Contamination,"Fiskars is recalling a specific batch of their Functional Form Spoons due to possible chemical contamination exceeding EU safety standards. The spoons, which feature nylon and orange silicone, may release potentially harmful primary aromatic amines into food.  This recall affects batch code 191223, product code 1027299.  Affected spoons may have been purchased from Amazon. Customers with this batch are urged to immediately discontinue use and contact Fiskars for a full refund or replacement.  This recall is for informational purposes only and poses a potential health risk.  The spoons originated in China.  Incident ID: 2020.45",migration,food contact materials,other,plastics
2020,1,16,ie,Indian-Made IKEA Mugs Recalled Due to Potential Chemical Leaching,"IKEA is initiating a recall for certain Troligtvis travel mugs manufactured in India.  The recall, effective immediately, involves specific beige (article number 504.124.47) and blue (article number 504.269.20) models sold between October 2019 and January 2020.  The issue stems from potential migration of elevated levels of a chemical, dibutyl phthalate (DBP).  Affected mugs display a ""Made in India"" marking.  Although chronic exposure is a concern, IKEA emphasizes no immediate health risk is anticipated.  Store personnel will display point-of-sale notices regarding this voluntary recall.  The recall does not impact mugs marked ""Made in Italy.""",migration,food contact materials,other,plastics
2020,1,16,ie,Indian-Made IKEA Mugs Recalled Over Potential Phthalate Contamination,"IKEA is initiating a recall for certain Troligtvis travel mugs manufactured in India.  The recall affects beige (article number 504.124.47) and blue (article number 504.269.20) mugs sold between October 2019 and January 2020.  Elevated levels of dibutyl phthalate (DBP) have been detected in these mugs.  Store displays will be updated to inform customers, and customers are urged to return the affected mugs for a full refund. No immediate health concerns are expected, but chronic exposure to DBP is linked to potential long-term issues.  This recall does not include mugs marked as ""Made in Italy.""",migration,food contact materials,other,plastics
2020,5,7,ie,Urgent Recall:  Plastic Utensils Potential Chemical Leaching,"Urgent recall initiated for specific batches of nylon kitchen utensils.  Preliminary tests indicate potential leaching of chemical compounds (primary aromatic amines) exceeding EU safety limits when in contact with food.  While no immediate health concerns are anticipated, consumers are urged to immediately discontinue use of affected items.  Details on specific product lines, batch codes, and affected regions will be published on [Company Website Link]. Contact [customer service number or email address] for assistance.",migration,food contact materials,other,plastics
2020,5,7,ie,Urgent Recall: Plastic Utensils Containing Elevated Aromatic Amines,"A recall has been initiated for certain batches of nylon-based kitchen utensils due to elevated levels of primary aromatic amines exceeding EU safety standards.  These affected utensils, detailed in an accompanying document, may leach these chemicals into food.  While health risks from short-term use are considered low, precautionary measures mandate the immediate withdrawal from sale.  Contact the manufacturer or retailer for further details on affected batches. Incident ID: 2023-10-27-001.  Category: Product Recall.  Affected Product Type: Food Contact Plastics.  Hazard: Chemical Migration. ",migration,food contact materials,other,plastics
2020,8,7,ie,Fiskars Spoon Recall: Potential Chemical Exposure Risk,"Fiskars is recalling a specific batch of their Functional Form Spoons due to a potential health hazard.  The affected spoons, featuring a nylon construction and an orange silicone rim, might release harmful primary aromatic amines into food. This recall, notification 2020.45, covers batch code 191223 (product code 1027299).  These spoons were likely sourced in China and sold via Amazon. Consumers who have purchased the impacted batch are advised to immediately stop using the spoons and contact Fiskars for a full refund or replacement.  This product recall is critical due to the potential for human exposure to elevated levels of chemicals.  Further details are available on the Fiskars website. The concern is chemical migration exceeding acceptable European Union limits.",migration,food contact materials,other,plastics
2020,1,16,ie,India-Made IKEA Travel Mugs Recalled Due to Potential Chemical Leaching,"IKEA is initiating a voluntary recall of certain Troligtvis travel mugs manufactured in India.  The recall encompasses two specific models: Beige (article number 504.124.47) and Blue (article number 504.269.20).  Mugs affected were sold between October 2019 and January 2020.  The issue stems from potential leaching of a specific chemical, potentially impacting food safety.  Customers are advised to check for the affected mug models before use, and return them to IKEA stores for a full refund. This recall does not affect mugs marked 'Made in Italy.'  IKEA stores will feature visible recall notices.  While no immediate health concerns are anticipated, prolonged and chronic exposure could present potential long-term risks.  Further details are available on the IKEA website.",migration,food contact materials,other,plastics
2020,1,16,ie,Indian-Made IKEA Travel Mugs Recalled Due to Potential Chemical Leaching,"IKEA is issuing a recall for certain Troligtvis travel mugs manufactured in India.  The recall affects beige (article number 504.124.47) and blue (article number 504.269.20) mugs sold between October 2019 and January 2020.  The recall is due to potential migration of elevated levels of a specific chemical, dibutyl phthalate (DBP), from the mug material. This recall does not include mugs marked ""Made in Italy"". While health concerns are not anticipated from brief exposure, the recall is precautionary.  Store staff will be providing information and issuing return procedures.  Affected products should not be used.  Further details on the recall will be available on the IKEA website.",migration,food contact materials,other,plastics
2020,8,7,ie,Fiskars Spoon Recall: Potential Chemical Exposure Risk,"Fiskars is recalling a batch of their Functional Form spoons due to a potential health risk.  The spoons, with a specific batch code (191223), may contain elevated levels of harmful primary aromatic amines.  These chemicals could migrate into food during use, posing a potential health hazard.  The affected spoons were sold in China and potentially through Amazon. Consumers who have purchased this specific batch are advised to immediately discontinue use and return the spoons for a full refund.  This recall pertains to Fiskars Functional Form Spoon product code 1027299.  The recall was initiated on August 7, 2020, and assigned notification 2020.45. This is a Category 2 safety alert.",migration,food contact materials,other,plastics
2020,1,16,ie,Indian-Made IKEA Mugs Recalled Due to Potential Chemical Leaching,"IKEA is issuing a recall for certain Troligtvis travel mugs manufactured in India due to elevated levels of dibutyl phthalate (DBP) potentially migrating into the product.  The affected mugs, beige (article number 504.124.47) and blue (article number 504.269.20), were sold between October 2019 and January 2020.  This recall does *not* affect mugs marked 'Made in Italy'.  While chronic exposure to DBP is a concern, immediate health risks are not anticipated.  Customers are advised to return these mugs to IKEA stores for a full refund.  Retail store signage will detail the recall process.   The affected batch codes are listed in the store and online notification materials.  The notification was issued on January 16, 2020.",migration,food contact materials,other,plastics
2020,8,7,ie,Fiskars Spoon Recall: Potential Chemical Exposure Risk,"Fiskars is recalling a batch of its Functional Form Spoons due to a potential chemical migration issue.  The affected spoons, featuring an orange silicone rim, may contain elevated levels of primary aromatic amines that could leach into food.  This recall, identified as 2020.45, affects batch code 191223 with product code 1027299. The spoons were potentially purchased from Amazon. Consumers are advised to immediately discontinue using the recalled spoons and contact Fiskars for a full refund or replacement.  Affected Spoons originate from China.",migration,food contact materials,other,plastics
2020,5,7,ie,Urgent Recall: Potential BPA Contamination in Plastic Utensils,"A recall is being initiated for certain batches of plastic kitchen utensils due to potential contamination with Bisphenol A (BPA).  Preliminary testing indicates that BPA levels exceed safety thresholds, posing a potential health risk.  Consumers are urged to immediately stop using the affected utensils, and return them to the point of purchase for a full refund.  The affected product batch codes and a complete list of implicated products will be released shortly on the official company website.  The specific batches and related details are being investigated, and further information will be released as it becomes available.  No immediate health effects are anticipated from short-term or occasional exposure; however, long-term use of these items is discouraged. This is a precautionary recall and customers should contact us with any questions.  Contact information will be available on the company website.",migration,food contact materials,other,plastics
2020,8,7,ie,Fiskars Spoon Recall: Potential Chemical Exposure,"Fiskars is recalling a specific batch of their Functional Form Spoons due to exceeding EU limits for chemical migration.  The affected spoons, featuring a nylon body and orange silicone rim, batch code 191223 (product code 1027299), may contain potentially harmful primary aromatic amines.  Consumers who purchased this spoon, potentially through Amazon, should immediately stop using it and contact Fiskars for a full refund or replacement.  This recall is categorized as an informational alert and was issued on August 7th, 2020.  The product originates from China.",migration,food contact materials,other,plastics
2020,5,7,ie,Urgent Recall: Plastic Utensils Pose Potential Chemical Exposure Risk,"Following recent laboratory testing, a recall has been initiated for certain batches of plastic utensils.  Preliminary findings indicate the presence of elevated levels of a specific chemical exceeding acceptable EU standards. These utensils, primarily used for food preparation, pose a potential chemical exposure risk.  Affected products are detailed in the attached document.  Customers who have purchased implicated products should immediately stop use and contact us for return instructions.  Health risks are currently considered minimal with short-term use.  However, long-term consumption is discouraged.  This precautionary measure aims to ensure the safety of consumers.  Further details and product specifics are available in the linked document.",migration,food contact materials,other,plastics
2020,1,16,ie,India-Made IKEA Travel Mugs Recalled Due to Potential Chemical Leaching,"IKEA is issuing a recall for certain Troligtvis travel mugs due to potential migration of harmful chemicals.  The affected mugs, sold between October 2019 and January 2020, are the beige (article number 504.124.47) and blue (article number 504.269.20) versions, both marked 'Made in India.'  No health concerns are anticipated from short-term exposure, but potential long-term exposure is a concern.  Recall notices are being displayed in stores.  This recall does not affect mugs marked 'Made in Italy.'  The mugs are potentially unsafe for food contact due to the chemical leaching.  Consumers are advised to return affected products for a full refund.  This recall affects a specific batch of the listed article numbers.",migration,food contact materials,other,plastics
2020,5,7,ie,Urgent Recall: Plastic Utensils with Elevated Chemical Levels,"A recall is necessary for certain plastic kitchen utensils due to exceeding permitted levels of specific chemicals.  Consumers are urged to immediately discontinue use of affected products listed in the attached document.  Potential exposure to harmful compounds, while not expected to cause immediate health concerns, could still pose a risk over prolonged periods.  Contact the manufacturer for replacement options or further information, if needed. Recall Identifier: 2023-R001.  Reference the included details for specific product information and batch codes.  Further details are contained within the attached supplementary report.",migration,food contact materials,other,plastics
