year,month,day,country,title,text,hazard-category,product-category,hazard,product
2019,4,30,us,Grocery Store Recall: Potential Metal Fragments in Sugar Ingredient for P.F. Chang's Home Meals,"A recall has been initiated for certain P.F. Chang's Home Menu Brand meals distributed in grocery stores across the US.  The recall stems from the possible presence of small metal fragments (2-9mm) within sugar used in some meal sauces.  The affected sugar was supplied by an external vendor.  While there have been no reported illnesses or injuries, consumers are advised not to consume the recalled products.  The initial recall, issued on July 7, 2016, expanded on July 14, 2016, due to further contaminated batches of sugar.  Specific product names and details are included in the attached list.  This recall does not affect P.F. Chang's restaurant meals, which are prepared fresh daily in each restaurant.  Consumers should return any affected products to their point of purchase.  For further information or to inquire about product safety, call the Consumer Affairs hotline at 1-800-252-0634 (9am-7pm CDT, Monday-Friday).  ConAgra Foods is working closely with regulatory agencies (FDA, USDA) to manage this recall effectively.",foreign bodies,sugars and syrups,metal fragment,sugar
2014,11,6,ca,ACH Food Companies Syrup Recall: Potential Plastic Contamination,"A recent recall has been issued by ACH Food Companies, Inc. concerning their Beehive brand corn syrup due to a potential hazard.  The recall, issued November 6, 2014, covers 55-gallon containers of the syrup distributed in British Columbia.  The issue involves the presence of plastic fragments in the product.  Consumers who have purchased affected batches are urged to return the product to their point of purchase for a full refund.  No injuries have been reported, and the recall is categorized as a class 3 incident.  This recall is a crucial step to protect public health and safety, emphasizing the importance of vigilant quality control in the food production industry.  Consumers can find more specific details about the recall, including lot numbers and affected product codes, on the CFIA website.  The affected product is a 55-gallon container of Beehive Corn Syrup with UPC code 000-76172-019121.  This incident underscores the need for rigorous safety procedures in all stages of food production.  All impacted consumers should contact the CFIA for further information or with questions regarding this safety advisory. ",foreign bodies,sugars and syrups,plastic fragment,syrup
2020,2,24,ie,Coconut Sugar Recall Due to Undisclosed Gluten Contamination,"Urgent consumer alert regarding a potential gluten contamination in a batch of Intenson Bio Organic Coconut Sugar.  The product, marketed as a safe, gluten-free alternative, has been identified as containing traces of cereals containing gluten, not declared on the product label.  Affected batches are potentially unsafe for individuals with gluten allergies or sensitivities.  Consumers with such sensitivities are urged to immediately stop consuming any product from the affected batch numbers listed below and contact Intenson customer service. For further details and information about affected batches, refer to the official recall notice issued on [Date]. Please note, consuming this product could pose significant health risks, especially for those with severe gluten allergies.  This recall is to prevent potential adverse reactions.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2019,4,30,us,Grocery Store Recall: Metal Fragments in Sugar Used in Prepared Meals,"A recall has been initiated for certain prepared meals sold in grocery stores due to the potential presence of metal fragments within the sugar used as an ingredient.  The affected products, part of the P.F. Chang's Home Menu brand, were distributed nationwide.  No injuries have been reported, but consumers are advised to refrain from consuming recalled items.  The affected sugar was sourced from a supplier and was found to contain 2-9mm metal fragments.  An initial recall was issued on July 7, 2016, and this recall was expanded on July 14, 2016, following the discovery of further impacted production lots.  Customers can return the affected products to their place of purchase.  For any inquiries, contact the Consumer Affairs hotline at 1-800-252-0634, operating Monday through Friday, 9 AM to 7 PM CDT.  This recall does not affect P.F. Chang's restaurant-prepared meals.",foreign bodies,sugars and syrups,metal fragment,sugar
2020,2,24,ie,Urgent Recall Notice: Gluten Contamination in Organic Coconut Sugar,"A significant contamination incident has been identified in a batch of organic coconut sugar produced by Intenson Bio.  Testing has revealed the presence of undeclared gluten, posing a serious risk to consumers with gluten allergies or intolerances.  Affected batches, detailed in the attached document, have been identified and must be removed from distribution and consumption immediately.  Consumers with concerns are advised to contact Intenson Bio Customer Service for further information and possible refunds. This situation underscores the importance of diligent ingredient labeling and rigorous quality control measures to ensure the safety and well-being of consumers.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2022,5,27,ca,Lantic Inc. Recalls Rogers Golden Sugar Due to Potential Health Risk,"Lantic Inc. has initiated a recall of Rogers brand Golden Yellow Sugar due to a potential health hazard.  The recall affects 2kg packages of sugar sold in Alberta and British Columbia.  Consumers are urged to immediately discontinue use and contact Lantic Inc. for further instructions.  The recall was prompted by the discovery of potentially harmful plastic fragments in some affected product batches.  The Canadian Food Inspection Agency (CFIA) is coordinating the recall and is actively advising the public about the situation.  Consumers who have purchased this product are advised to inspect their bags for any foreign objects, and to dispose of the product if any are found.  Detailed information regarding affected UPC codes and disposal procedures is available on the CFIA website and by contacting their customer service line.  The incident identification number is RA-64198.",foreign bodies,sugars and syrups,plastic fragment,sugar
2020,2,24,ie,Urgent Recall: Gluten Contamination in Organic Coconut Sugar,"Critical Alert:  A recent investigation has revealed the presence of undeclared gluten in certain batches of Intenson Bio Organic Coconut Sugar.  Consumers with gluten allergies or sensitivities are strongly advised to avoid these affected products immediately.  This recall affects batch numbers [insert batch numbers here], which were distributed nationwide.  Detailed information and instructions for returns are available on the Intenson website and via customer service lines.  Please contact us immediately with any concerns.  Product safety is our paramount concern.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2022,5,27,ca,Plastic Fragments Found in Rogers Golden Sugar; Recall Issued,"Rogers Golden Yellow Sugar is being recalled due to a potential health hazard.  The recall, issued by the Canadian Food Inspection Agency (CFIA), involves 2 kg bags of sugar distributed in Alberta and British Columbia.  Consumers are urged to immediately discontinue use of any affected product.  The CFIA is working to prevent further distribution and ensure the safety of consumers.  The recall identifier is RA-64198 and the CFIA ID is 15004.  Consumers can contact the CFIA for further information or concerns by calling 1-800-442-2342. This recall involves a potential foreign body hazard, specifically plastic fragments, in the affected product.  The affected product is a type of sugar.  Lantic Inc. is the company responsible for this product line.",foreign bodies,sugars and syrups,plastic fragment,sugar
2019,4,30,us,Recall Extended for Certain Grocery Products Due to Potential Metal Fragments,"A broader recall is announced for specific grocery items, due to a potential risk of metal fragments.  Consumers are advised not to consume products identified in the recall notice, and to return them to the point of purchase.  The recalled products include various items from a specific brand, manufactured by ConAgra Foods, which were distributed nationwide. While there have been no reported injuries, the potential presence of metal fragments (2-9mm) in the sugar used in sauces is the concern. The impacted sugar originated from a supplier, prompting a recall expansion.  The initial recall, issued on a previous date, now covers newly identified batches.  Conagra is cooperating with regulatory agencies. Consumers can call a dedicated hotline for assistance with returns and additional information.  The affected products do not involve any meals prepared and served in P.F. Chang's restaurants. The safety of consumers is paramount, and ConAgra is taking proactive measures to address the issue.",foreign bodies,sugars and syrups,metal fragment,sugar
2014,11,6,ca,ACH Food Companies Issues Recall for Syrup Containing Potential Metal Fragments,"Urgent Recall Notice issued for Beehive brand syrup due to potential contamination with metal fragments.  This recall affects a specific batch of 55-gallon containers distributed in British Columbia.  Consumers who have purchased these products are urged to immediately cease consumption and return the affected items to the point of purchase for a full refund.  Further details are available on the CFIA website.  The recall was initiated November 6th, 2014, due to a hazard classification of Class 3, categorized as a foreign body risk.  Contact the CFIA directly for more information regarding affected product details and reference number 9412.  This recall does not extend to any subsequent batches or products.  Consumers should only consume food products determined safe for human consumption. Media inquiries are directed to CFIA Media Relations at 613-773-6600.  This recall is in no way a reflection on the safety of products manufactured after this date.",foreign bodies,sugars and syrups,plastic fragment,syrup
2022,5,27,ca,Alberta & BC Residents Warned of Potential Plastic Fragments in Sugar,"Urgent consumer alert: A recent recall has been issued for Rogers Golden Yellow Sugar, due to the potential presence of plastic fragments.  The affected product, 2 kg bags with UPC 063111121446, was distributed in Alberta and British Columbia.  Consumers are urged not to consume, sell, or distribute the recalled sugar.  The Canadian Food Inspection Agency (CFIA) is taking action to ensure the safety of citizens.  For inquiries and further details, please contact the CFIA at 1-800-442-2342.  Affected product information and a full recall notice is available at inspection.gc.ca/recalls.  The recall, initiated by Lantic Inc., is classified as a Class 2 incident, identification number RA-64198.",foreign bodies,sugars and syrups,plastic fragment,sugar
2016,7,19,us,Recall Expanded for P.F. Chang's Home Menu Brand Meals Due to Potential Metal Fragments in Sugar,"ConAgra Foods announces an expanded recall of select P.F. Chang's Home Menu Brand meals sold in grocery stores across the U.S. The recall stems from the potential presence of metal fragments in the sugar used as an ingredient in certain sauces.  Initial reports of metal fragments surfaced in July 2016, and further investigation by ConAgra Foods, in conjunction with their supplier, uncovered additional affected product lots.  While no adverse health effects have been reported, the voluntary recall targets meals that were potentially made with impacted sugar lots.  The recalled products include various dishes, such as Signature Spicy Chicken, Mongolian Style Beef, and others.  Consumers are urged to check the product details and best-by dates to ensure their products are part of the recall, and return all affected items to the store of purchase for a full refund.  Detailed product information including UPC codes, lot numbers and best-by dates are provided for consumer reference. Further information and consumer support are available on ConAgra Foods' website or via their consumer hotline: 1-800-252-0634.",foreign bodies,sugars and syrups,metal fragment,sugar
2014,11,6,ca,Plastic Fragments Found in ACH Food Syrup - Urgent Recall,"Urgent consumer alert issued by ACH Food Companies, Inc., regarding their Beehive brand corn syrup.  A recall has been initiated due to the presence of potentially hazardous plastic fragments within the syrup containers.  Affected products were distributed in British Columbia warehouses.  The recall involves a specific 55-gallon batch of Beehive Corn Syrup (UPC 000-76172-019121).  Consumers who have purchased this product are advised to immediately discontinue use and return the product to the point of purchase for a full refund.  This recall is a critical safety measure and highlights the importance of checking products carefully.  Further details on affected batches and distribution are available on the ACH Food Companies, Inc. website.  Do not consume any potentially contaminated syrup.  Contact information for ACH Food Companies and the Canadian Food Inspection Agency (CFIA) is available on their respective websites, along with updated information on the recall process.",foreign bodies,sugars and syrups,plastic fragment,syrup
2020,2,24,ie,Coconut Sugar Recall Due to Undisclosed Gluten Contamination,"Urgent Recall Notice:  Intenson Bio Cukier Kokosowy (Organic Coconut Sugar) batches are being recalled due to a serious allergen contamination.  Analysis revealed the presence of undeclared gluten, posing a significant risk to consumers with celiac disease or gluten intolerance.  Affected batches are identified in the attached document.  Consumers with any questions or concerns should immediately contact Intenson Bio for instructions on safe disposal and alternative product options.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2016,7,19,us,Recall Expansion: Potential Metal Fragments in P.F. Chang's Home Menu Products,"ConAgra Foods is expanding a voluntary recall of specific P.F. Chang's Home Menu brand products due to a potential presence of small metal fragments in the sugar used in the sauces.  This expanded recall covers various meal options distributed in the U.S.  The recall stems from impacted sugar shipments from a supplier.  Consumers who have purchased affected products, detailed in the accompanying table, should not consume them and should return them to the point of purchase.  No injuries have been reported thus far. The FDA and USDA are cooperating with the recall.  A consumer affairs hotline (1-800-252-0634, 9am-7pm CDT, Monday-Friday) is available for inquiries.   The full list of affected products, including UPC codes, lot numbers, and 'best by' dates, are provided below.

**Affected Products:**

| Item Description | UPC | MFG/Lot Code | Best By Date |
|---|---|---|---| 
| P.F. Chang's Home Menu Brand Signature Spicy Chicken 22oz | 31000-67023 | 5006616500, 5006615200 | June 8, 2017, May 26, 2017 |
| P.F. Chang's Home Menu Brand Mongolian Style Beef 22oz | 31000-67000 | 5006617400, 5006615800 | June 17, 2017, June 1, 2017 |
| P.F. Chang's Home Menu Brand Beef with Broccoli 22 oz | 31000-67001 | 5006616100 | June 4, 2017 |
| ... (and other affected products as listed in the original table) ... |

This recall does *not* affect P.F. Chang's restaurant-prepared meals.",foreign bodies,sugars and syrups,metal fragment,sugar
2019,4,30,us,Grocery Recall: Possible Metal Fragments in Sugar Ingredient,"A recall has been initiated for certain P.F. Chang's Home Menu products due to a potential hazard.  Small metal fragments (ranging from 2-9mm) have been detected in sugar used in some meal sauces.  The affected sugar originates from a supplier, and multiple production lots are involved.  Although no adverse reactions have been reported, the recall aims to prevent possible minor injuries like choking or gastrointestinal irritation.  The initial recall, issued on July 7, 2016, was expanded on July 14th to cover additional affected product lots.  Products distributed throughout the US are included in the recall.  Consumers are urged to refrain from consuming the affected products and return them to the place of purchase.  ConAgra Foods is working collaboratively with regulatory agencies and customers to address this issue.  A dedicated consumer hotline (1-800-252-0634, 9am-7pm CDT, Mon-Fri) is available to answer inquiries.",foreign bodies,sugars and syrups,metal fragment,sugar
